sample_nr,obs_well,Benzene,Toluene,Ethylbenzene,O Xylene,P/M Xylene,Naphthalene,depth,pH,O2,Redox,Fe II,Mn,chloride,nitrite,Nitrite - N,nitrate,nitrate - N,sulfate
,,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,m,,mg/l,mV,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
NL_CW_W_01,CW1_EFF-1-1,150,21,110,43,35,160,0,7.0,4.02,-83,"5,3","3,8",44,0,0,0,0,36
NL_CW_W_02,CW1MF09-1-2,110,2,44,31,14,0,0,7.19,1.08,-138,16,"3,7",47,0,0,0,0,0
NL_CW_W_03,CW1MF10-1-2,650,88,380,150,130,730,0,7.01,0.4,-132.5,"4,8","3,2",67,0,0,0,0,39
NL_CW_W_04,CW1MF06-1-1,310,18,28,14,6,2,0,7.05,0.37,-134,17,"3,9",63,0,0,0,0,0
NL_CW_W_05,INF-1-1,690,190,910,330,590,4900,0,0.0,0,0,"0,3","0,9",65,0,0,0,0,73
NL_CW_W_06,CW1MF01-1-2,320,19,18,11,4,3,0,6.8,0.46,-166,18,"4,3",61,0,0,0,0,0
NL_CW_W_07,CW1MF02-1-2,510,120,600,230,310,1700,0,7.1,0.26,-192,"1,5","1,4",65,0,0,0,0,59
NL_CW_W_08,CW1MF05-1-1,3,1,2,1,1,9,0,7.02,0.36,-133,"4,6","5,1",13,0,0,0,0,0
NL_CW_W_09,CW2MF05-1-2,880,140,620,230,260,1100,0,7.12,0.5,-183.2,"5,9","3,1",65,0,0,0,0,33
NL_CW_W_010,CW2MF06-1-1,770,110,530,190,290,520,0,6.92,0.23,-132,"4,9","2,8",64,0,0,0,0,38
NL_CW_W_011,CW2_EFF-1-1,680,63,370,150,200,510,0,6.88,0.75,-146,"6,3","3,7",62,0,0,0,0,37
NL_CW_W_012,CW2MF01-1-1,440,30,33,20,14,1,0,6.9,0.88,-118,15,"5,3",62,0,0,0,0,6
NL_CW_W_013,CW2MF02-1-1,740,140,640,230,380,1400,0,7.09,0.16,-164,"1,2","1,2",65,0,0,0,0,58
NL_CW_W_014,CW2MF09-1-1,130,3,6,2,3,10,0,6.9,0.78,-132,15,"4,4",53,0,0,0,0,0
NL_CW_W_015,CW2MF10-1-1,730,100,490,190,290,980,0,6.91,0.34,-128,"3,6","2,8",65,0,0,0,0,45
NL_CW_W_016,CW3_EFF-1-1,510,13,260,90,76,360,0,7.01,0.48,-141,"7,6","4,2",61,0,0,0,0,42
NL_CW_W_017,CW3MF01-1-1,120,2,2,1,0,4,0,6.8,0.41,-131,22,"5,0",59,0,0,0,0,0
NL_CW_W_018,CW3MF02-1-1,850,120,620,250,290,1400,0,6.9,0,-109,"1,4","1,4",65,0,0,0,0,49
NL_CW_W_019,CW3MF05-1-1,1,0,1,0,0,5,0,7.08,0.28,-159,"4,3","1,5",56,0,0,0,0,240
NL_CW_W_020,CW3MF06-1-1,570,31,350,150,150,900,0,7.11,0.22,-163,"1,8","2,1",66,0,0,0,0,52
NL_CW_W_021,CW3MF09-1-1,7,0,2,0,0,8,0,6.91,4.7,-117,24,"5,8",16,0,0,0,0,0
NL_CW_W_022,CW3MF10-1-1,630,18,370,140,120,890,0,7.02,0.41,-132,"2,1","2,7",65,0,0,0,0,47
NL_CW_W_023,CW2_EFF-1-2,0,0,0,0,0,0,0,7.08,0.7,-101,"6,3","3,7",0,0,0,0,0,0
