sample_nr,obs_well,Iron II,MN II,benzene,toluene,ethylbenzene,o-xylene,pm_xylene,sum xylenes (factor 0.7),total BTEX (factor 0.7),naphthalene,naphthalene.1,chloride,nitrite,nitrite - N,nitrate,nitrate - N,sulfate,Oxygen
unit,-,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,mg/l,mg/l,mgN/l,mg/l,mgN/l,mg/l,mg/l
NL_CW_W_01,INF,0.3,0.9,690,190,910,330,590,920,2710,5600,4900,65,0,0,0,0,73,0
NL_CW_W_02,CW1MF01,18,4.3,320,19,18,11,4,15,372,4,3,61,0,0,0,0,0,0.46
NL_CW_W_03,CW1MF02,1.5,1.4,510,120,600,230,310,540,1770,3600,1700,65,0,0,0,0,59,0.26
NL_CW_W_04,CW1MF05,4.6,5.1,2,0,1,0,0,1,6,18,9,13,0,0,0,0,0,0.36
NL_CW_W_05,CW1MF06,17,3.9,310,18,28,14,6,20,376,5.6,2,63,0,0,0,0,0,0.37
NL_CW_W_06,CW1MF09,16,3.7,110,2,44,31,14,45,201,2.5,0,47,0,0,0,0,0,1.08
NL_CW_W_07,CW1MF10,4.8,3.2,650,88,380,150,130,280,1398,2000,730,67,0,0,0,0,39,0.4
NL_CW_W_08,CW1_EFF,5.3,3.8,150,21,110,43,35,78,359,410,160,44,0,0,0,0,36,4.02
NL_CW_W_09,CW2MF01,15,5.3,440,30,33,20,14,34,537,2.1,1,62,0,0,0,0,6.4,0.88
NL_CW_W_10,CW2MF02,1.2,1.2,740,140,640,230,380,610,2130,3800,1400,65,0,0,0,0,58,0.16
NL_CW_W_11,CW2MF05,5.9,3.1,880,140,620,230,260,490,2130,3000,1100,65,0,0,0,0,33,0.5
NL_CW_W_12,CW2MF06,4.9,2.8,770,110,530,190,290,480,1890,2600,520,64,0,0,0,0,38,0.23
NL_CW_W_13,CW2MF09,15,4.4,130,3,5,2,2,4,143,20,9,53,0,0,0,0,0,0.78
NL_CW_W_14,CW2MF10,3.6,2.8,730,100,490,190,290,480,1800,2500,980,65,0,0,0,0,45,0.34
NL_CW_W_15,CW2_EFF,0,0,680,63,370,150,200,350,1463,1400,510,62,0,0,0,0,37,0.75
NL_CW_W_16,CW3MF01,22,5,120,2,2,1,0,2,127,6.1,4,59,0,0,0,0,0,0.41
NL_CW_W_17,CW3MF02,1.4,1.4,850,120,620,250,290,540,2130,3500,1400,65,0,0,0,0,49,0
NL_CW_W_18,CW3MF05,4.3,1.5,1,0,0,0,0,0,3,5,4,56,0,0,0,0,240,0.28
NL_CW_W_19,CW3MF06,1.8,2.1,570,31,350,150,150,300,1251,2000,900,66,0,0,0,0,52,0.22
NL_CW_W_20,CW3MF09,24,5.8,6,0,2,0,0,2,11,18,8,16,0,0,0,0,0,4.7
NL_CW_W_21,CW3MF10,2.1,2.7,630,18,370,140,120,260,1278,2100,890,65,0,0,0,0,47,0.41
NL_CW_W_22,CW3_EFF,7.6,4.2,510,13,260,90,76,166,949,1100,360,61,0,0,0,0,42,0.48
